Question;Answer
Какой bias и variance у различных типов моделей: линейные модели, деревья, ансамбли деревьев?;"1) Линейные модели (линейная регрессия, логистическая регрессия)
Bias: Высокий (жесткие предположения о линейности)
Variance: Низкий (устойчивые предсказания)
Причина: Слабая гибкость, не могут捕捉 сложные зависимости
2) Деревья решений (без ограничений)
Bias: Низкий (могут приблизить сложные функции)
Variance: Высокий (чувствительны к шуму в данных)
Причина: Слишком гибкие, подстраиваются под обучающую выборку
3) Ансамбли деревьев:
Случайный лес (Bagging)
Bias: Средний/низкий (как у отдельных деревьев)
Variance: Низкий (усреднение уменьшает разброс)
Градиентный бустинг (Boosting)
Bias: Низкий (последовательно уменьшают ошибку)
Variance: Средний (регуляризация контролирует переобучение)
Практический вывод:
Для простых данных: линейные модели
Для сложных данных: ансамбли деревьев
При переобучении: Random Forest
При недообучении: градиентный бустинг"
Что такое дисбаланс классов и как с ним бороться?;"Дисбаланс классов — ситуация, когда в данных один класс значительно преобладает над другими, что ухудшает предсказательную способность модели для миноритарного класса.
Методы борьбы:
Взвешивание классов: Назначение больших штрафов за ошибки на миноритарном классе
Сэмплирование:
Oversampling: Увеличение миноритарного класса (SMOTE)
Undersampling: Уменьшение мажоритарного класса
Ансамблирование: Использование Balanced Random Forest, EasyEnsemble
Изменение порога классификации: Настройка decision threshold под задачу
Выбор метрик: Использование F1-score, Precision-Recall вместо Accuracy
Генерация синтетических данных: Алгоритмы вроде SMOTE, ADASYN
Практические рекомендации:
Для небольших данных: Oversampling + взвешивание
Для больших данных: Undersampling + ансамбли
Всегда использовать кросс-валидацию с stratification
Выбирать метрики, учитывающие дисбаланс (F1, ROC-AUC)"
"Почему деревья сильнее переобучаются?
";"Деревья решений сильно переобучаются из-за их высокой гибкости и способности идеально разделять обучающие данные.
Основные причины:
Жадный алгоритм: Построение дерева основано на локально оптимальных разбиениях без глобальной оптимизации
Высокая сложность: Могут создавать сложные нелинейные границы решений
Чувствительность к данным: Небольшие изменения в данных значительно меняют структуру дерева
Отсутствие регуляризации по умолчанию: Без ограничений дерево растет до полного разделения данных
Методы борьбы с переобучением:
Ограничение максимальной глубины
Минимальное число объектов в листе
Обрезка (pruning) после построения
Использование ансамблей (Random Forest, Gradient Boosting)
Следствие: Чем глубже дерево, тем выше variance и склонность к запоминанию шума в данных."
Какие знаешь оптимизаторы, в чем их идеи и различия?;"Основные оптимизаторы в машинном обучении:
1) SGD (Stochastic Gradient Descent)
Идея: Обновление весов по градиенту на каждом батче
Особенности: Простота, но требует точного подбора learning rate
2) Momentum
Идея: Добавление инерции для сглаживания колебаний
Особенности: Быстрее проходит плато, уменьшает осцилляции
3) Adam (Adaptive Moment Estimation)
Идея: Комбинация Momentum и адаптивного learning rate
Особенности: Автоматическая настройка шага, популярен по умолчанию
4) RMSprop
Идея: Адаптивный learning rate на основе скользящего среднего градиентов
Особенности: Эффективен для RNN и неровных поверхностей
5) Adagrad
Идея: Уменьшение шага для часто встречающихся признаков
Особенности: Подходит для разреженных данных
Ключевые различия:
Скорость сходимости: Adam обычно быстрее
Настройка параметров: Adam проще в настройке
Память: Adam требует больше памяти чем SGD
Универсальность: Adam работает хорошо из коробки
Практика: Adam для большинства задач, SGD для тонкой настройки"
Gradient Descent (GD), Stochastic Gradient Descent (SGD) и Mini-Batch Stochastic Gradient Descent (Mini-Batch SGD). В чем их различия, плюсы и минусы каждого?;"1) Gradient Descent (GD) - Полный градиентный спуск
Механика: Использует ВСЕ обучающие данные для каждого обновления весов
Плюсы: Стабильная сходимость, детерминированные обновления
Минусы: Медленный на больших данных, требует много памяти
Применение: Небольшие датасеты (<10K примеров)
2) Stochastic Gradient Descent (SGD) - Стохастический градиентный спуск
Механика: Использует ОДИН случайный пример для каждого обновления
Плюсы: Быстрое обновление весов, обход локальных минимумов
Минусы: Высокая дисперсия обновлений, шумная сходимость
Применение: Онлайн-обучение, огромные датасеты
3) Mini-Batch SGD - Мини-батч градиентный спуск
Механика: Использует НЕБОЛЬШОЙ БАТЧ примеров (обычно 32-512)
Плюсы: Баланс скорости и стабильности, лучше использует GPU
Минусы: Требует подбора размера батча
Применение: Стандартный выбор для большинства задач"
Если бы мы имели бесконечные ресурсы (память, GPU, CPU и т.д.), а также нам была бы не важна скорость сходимости модели, то какой метод GD, SGD или Mini-Batch SGD лучше использовать?;"При бесконечных ресурсах и без требования к скорости лучше использовать обычный Gradient Descent (GD).
Обоснование:
Математическая гарантия: GD гарантированно сходится к локальному минимуму при соответствующем learning rate
Стабильность: Каждое обновление основано на точном градиенте со всей выборки
Отсутствие шума: Детерминированные обновления без стохастических колебаний
Оптимальная траектория: Прямой путь к минимуму без случайных блужданий
При этом:
SGD и Mini-Batch SGD вносят шум, который помогает избегать локальных минимумов, но в нашей гипотезе это не требуется
С бесконечными ресурсами вычисление полного градиента не является проблемой
Медленная сходимость GD не является ограничением по условию
Итог: Gradient Descent становится оптимальным выбором в условиях неограниченных вычислительных ресурсов и отсутствия требований к скорости."
Что такое gradient clipping?;"Gradient clipping (отсечение градиента) — техника стабилизации обучения нейронных сетей, ограничивающая значения градиентов во время обратного распространения.
Основные методы:
По значению (value-based):
Обрезка каждого элемента градиента: g = max(min(g, threshold), -threshold) Простая реализация но менее эффективна
По норме (norm-based):
Масштабирование градиента если его норма превышает порог: g = g * threshold / ||g|| Более стабильная и распространенная техника
Решаемые проблемы:
Взрыв градиентов в RNN и глубоких сетях
Нестабильность обучения при больших learning rate
Проблемы с численной стабильностью
Преимущества:
Позволяет использовать большие learning rate
Ускоряет сходимость моделей
Предотвращает численные переполнения
Области применения: RNN, трансформеры, GAN, глубокие сети с residual connections"
Рассказать про gradient accumulation.;"Gradient accumulation — техника для обучения моделей на больших батчах при ограниченной памяти GPU. Вместо немедленного обновления весов, градиенты накапливаются за несколько маленьких батчей.
Как работает:
Разделение батча: Большой батч делится на маленькие микробатчи
Прямое распространение: Для каждого микробатча вычисляются потери
Обратное распространение: Вычисляются градиенты и накапливаются
Обновление весов: После N микробатчей веса обновляются на среднее значение градиентов Преимущества:
Эмуляция большого батча при ограниченной памяти GPU
Более стабильное обучение
Поддержка больших моделей
Недостатки:
Увеличение времени обучения
Требует точной настройки гиперпараметров
Применение: Обучение больших трансформеров, GAN, редко встречающихся классов"
Что такое градиент?;"Градиент — вектор, показывающий направление наискорейшего роста функции в данной точке. В машинном обучении градиент указывает направление, в котором нужно изменить параметры модели, чтобы быстрее всего увеличить функцию потерь.
Ключевые аспекты:
Математическое определение: Вектор частных производных ∇f = [∂f/∂x₁, ∂f/∂x₂, ..., ∂f/∂xₙ]
В машинном обучении:
Градиент функции потерь показывает направление роста ошибки
Для минимизации ошибки двигаемся в направлении, противоположном градиенту
Геометрическая интерпретация:
Направление наискорейшего подъема функции
Перпендикулярен линиям уровня функции
Практическое значение:
Основа градиентного спуска и всех современных оптимизаторов
Позволяет эффективно обучать нейронные сети через backpropagation
Пример: При обучении модели градиент показывает, как нужно изменить каждый вес, чтобы уменьшить ошибку предсказания."
Формулировка задачи Maximum Likelihood Estimation. Записать формулу.;"Maximum Likelihood Estimation (MLE) — метод оценки параметров статистической модели путем максимизации функции правдоподобия.
Формулировка задачи:Для заданных данных X = {x₁, x₂, ..., xₙ} и модели с параметрами θ найти такие θ, которые максимизируют вероятность наблюдать данные X.
Формулы:
Функция правдоподобия:L(θ|X) = P(X|θ) = ∏ᵢ f(xᵢ|θ)
Логарифмическая функция правдоподобия:ℓ(θ|X) = log L(θ|X) = ∑ᵢ log f(xᵢ|θ)
Задача оптимизации:θ̂ = argmax L(θ|X) = argmax ℓ(θ|X)
Объяснение:
L(θ|X) — совместная вероятность наблюдать данные при заданных θ
ℓ(θ|X) — логарифм правдоподобия (удобнее для оптимизации)
θ̂ — оценка максимального правдоподобия
Применение: Оценка параметров в регрессии, классификации, генеративных моделях."
Рассказать про архитектуру ViT;"Vision Transformer (ViT) — архитектура для обработки изображений, основанная на механизме внимания из трансформеров.
Ключевые компоненты:
Разбиение на патчи: Изображение делится на N фиксированных патчей (например 16×16 пикселей)
Линейное проектирование: Каждый патч преобразуется в вектор эмбеддинга (patch embedding)
Positional encoding: Добавляются позиционные эмбеддинги для сохранения информации о расположении патчей
Transformer Encoder:
Multi-Head Self-Attention (MSA)
LayerNorm и MLP блоки
Residual connections
Classification head: Выходной токен [class] используется для классификации
Формула процесса:z₀ = [x_class; x₁E; x₂E; ...; xₙE] + E_posz'ℓ = MSA(LN(z{ℓ-1})) + z_{ℓ-1}z_ℓ = MLP(LN(z'_ℓ)) + z'_ℓy = LN(z⁰_ℓ)
Преимущества:
Лучшее моделирование глобальных зависимостей
Масштабируемость на больших датасетах
Отсутствие индуктивных смещений CNNs
Недостатки:
Требует больших объемов данных для обучения
Вычислительная сложность O(n²) для n патчей
Меньшая эффективность на маленьких датасетах
Применение: Классификация изображений, детекция, сегментация, генеративные модели."
Рассказать про идею ResNet;"ResNet (Residual Network) — архитектура нейронной сети, решающая проблему исчезающего градиента в очень глубоких сетях через введение остаточных соединений.
Ключевая идея:Вместо обучения прямого преобразования H(x), сеть обучает остаточную функцию F(x) = H(x) - x, а итоговое преобразование становится H(x) = F(x) + x.
Основные компоненты:
Остаточные блоки:
Identity mapping: прямой пропуск входных данных
Остаточная функция: F(x) = W₂σ(W₁x)
Выход: y = F(x) + x
Архитектурные особенности:
Использование batch normalization
Глобальный средний пулинг вместо полносвязных слоев
Bottleneck блоки (1×1 свёртки для уменьшения размерности)
Преимущества:
Возможность обучения очень глубоких сетей (до 1000+ слоев)
Решение проблемы исчезающего градиента
Улучшение сходимости и точности
Применение: Классификация изображений, детекция объектов, семантическая сегментация.
Значение: Прорыв в глубине сетей, позволивший создавать модели с 152+ слоями без деградации точности."
Рассказать про MobileNet и EfficientNet;"MobileNet:
Идея: Использование depthwise separable convolutions для создания легких моделей
Ключевые особенности:
Depthwise separable convolution = depthwise conv + pointwise conv
Параметры width multiplier и resolution multiplier для регулирования размера
MobileNetV2 добавила inverted residuals и linear bottlenecks
Преимущества: Высокая скорость, мало параметров, энергоэффективность
Применение: Мобильные устройства, embedded systems, real-time приложения
EfficientNet:
Идея: Сбалансированное масштабирование глубины, ширины и разрешения
Ключевые особенности:
Compound scaling: равномерное масштабирование всех измерений
Базовая архитектура MBConv (mobile inverted bottleneck)
Neural Architecture Search для поиска оптимальной структуры
Преимущества: Лучшее соотношение точность/производительность
Применение: От мобильных устройств до серверных решений
Сравнение:
MobileNet: проще, быстрее, менее точный
EfficientNet: сложнее, точнее, лучшее масштабирование
Оба подхода: ориентированы на эффективность вычислений"
CLIP - идея, функция потерь, способ обучения, для чего используется? Какие метрики дистанции между эмбеддингами можно использовать и какую метрику использовали авторы;"Идея: CLIP (Contrastive Language-Image Pre-training) обучает модель сопоставлять изображения и текстовые описания в общем пространстве эмбеддингов.
Функция потерь: Контрастная функция потерь (contrastive loss) - symmetric cross-entropy loss:
Для каждого изображения предсказывается соответствующий текст из батча
Для каждого текста предсказывается соответствующее изображение из батча
Способ обучения:
Парные данные: (изображение, текстовое описание)
Две параллельные сети: image encoder (ViT/ResNet) и text encoder (Transformer)
Обучение на 400 млн пар изображение-текст из интернета
Контрастное обучение: сходство правильных пар >> сходство неправильных пар
Применение:
Zero-shot классификация изображений
Поиск изображений по текстовым запросам
Текст-условная генерация изображений
Мультимодальный поиск
Метрики расстояния между эмбеддингами:
Косинусное расстояние (использовали авторы)
Евклидово расстояние
Dot product (скалярное произведение)
Manhattan distance
Метрика авторов: Косинусное сходство (cosine similarity) между нормализованными эмбеддингами изображений и текстов."
Как работают различные токенизаторы текста?;"окенизаторы преобразуют текст в последовательность токенов (чисел). Основные типы:
1) Word-based (словарные):
Разбиение по пробелам и знакам препинания
Проблемы: OOV-слова, большие словари
2) Character-based (побуквенные):
Каждый символ = отдельный токен
Плюсы: маленький словарь, нет OOV
Минусы: длинные последовательности
3) Subword-based (субсловные):
Компромиссный подход: частые слова = целые токены, редкие = разбиваются
BPE (Byte Pair Encoding): Итеративное объединение частых пар символов
WordPiece: Аналогично BPE, но объединение на основе likelihood
SentencePiece: Tokenization без предварительной нормализации, поддерживает UNICODE
4) Byte-level BPE:
Используется в GPT-моделях
Работает на уровне байтов
Полное покрытие без OOV-токенов
Сравнение:
Качество: Subword > Word > Character
Эффективность: Word > Subword > Character
Гибкость: Character > Subword > Word
Применение:
BPE/WordPiece: BERT, GPT, Transformer-модели
SentencePiece: Многоязычные модели
Byte-level: GPT-2, RoBERTa"
Что такое операция свертки? Какие у нее свойства? Как представить в виде матричного умножения?;"Операция свертки: Математическая операция, применяющая ядро (фильтр) к входным данным с помощью скалярных произведений и скользящего окна.
Свойства свертки:
Локализация: Каждый выходной элемент зависит только от локальной области входа
Инвариантность к сдвигу: Обнаруживает паттерны независимо от их позиции
Разделение параметров: Одно ядро применяется ко всем позициям
Иерархическое представление: Послойное извлечение признаков
Матричное представление:
Преобразование входа: Входные данные ""растягиваются"" в вектор (im2col)
Построение матрицы ядра: Ядро преобразуется в разреженную матрицу Toeplitz
Умножение: Свертка = матричное умножение: Output = Kernel_matrix × Input_vector
Пример для 1D свертки:Вход: [x₁, x₂, x₃], ядро: [w₁, w₂]Матрица ядра:
[w₁ w₂ 0 ]
[0  w₁ w₂]


Умножение: [y₁, y₂]ᵀ = Kernel_matrix × [x₁, x₂, x₃]ᵀ
Применение: CNNs, обработка сигналов, компьютерное зрение."
Что такое receptive field?;"Receptive field (рецептивное поле) — область входных данных (например, изображения), которая влияет на вычисление конкретного нейрона в сверточной нейронной сети.
Ключевые аспекты:
Определение: Размер области входного сигнала, доступной для вычисления признака на определенном слое
Динамика по слоям:
Поверхностные слои: маленькое рецептивное поле (локальные признаки)
Глубокие слои: большое рецептивное поле (глобальные признаки)
Расчет рецептивного поля:
Зависит от размера ядра, stride и padding
Формула: RFₗ = RFₗ₋₁ + (kₗ - 1) × ∏ᵢ₌₁ˡ⁻¹ sᵢгде k - размер ядра, s - stride
Значение:
Определяет способность сети захватывать контекст
Влияет на качество распознавания крупных объектов
Важно для архитектурного проектирования CNN
Пример: В VGG16 рецептивное поле последнего сверточного слоя составляет 212×212 пикселей для входного изображения 224×224."
Какие виды сверток знаешь, идеи, плюсы и минусы каждой?;"Основные виды сверточных операций:
1) Стандартная свертка (Standard Convolution)
Идея: Применение ядра ко всем каналам входных данных
Плюсы: Простота, эффективное извлечение признаков
Минусы: Высокие вычислительные затраты
2) Depthwise Separable Convolution
Идея: Разделение на depthwise (пространственная) и pointwise (межканальная) свертки
Плюсы: Меньше параметров и вычислений
Минусы: Может терять качество на сложных задачах
3) Dilated Convolution (Atrous Convolution)
Идея: Добавление ""пропусков"" между элементами ядра для увеличения receptive field
Плюсы: Большое рецептивное поле без потери разрешения
Минусы: Потеря локальной информации, артефакты
4) Transposed Convolution (Deconvolution)
Идея: Обратная операция для увеличения размера feature maps
Плюсы: Эффективное апсемплирование
Минусы: Возможность чекерборд-артефактов
5) Grouped Convolution
Идея: Разделение каналов на группы для независимой обработки
Плюсы: Уменьшение вычислений, лучшая обобщающая способность
Минусы: Ухудшение качества при слишком большом количестве групп
6) Pointwise Convolution (1×1 Convolution)
Идея: Свертка 1×1 для управления размерностью каналов
Плюсы: Дешевые вычисления, смешивание каналов
Минусы: Обрабатывает только межканальные зависимости
Применение:
MobileNet: Depthwise separable
WaveNet: Dilated convolutions
ResNeXt: Grouped convolutions
U-Net: Transposed convolutions"
Почему мы перешли от сверток (CNN) к механизму вниманию (Transformer) во многих задачах CV?;"Переход обусловлен фундаментальными преимуществами механизма внимания в моделировании глобальных зависимостей и лучшей масштабируемостью.
Ключевые причины:
1) Глобальный контекст vs локальная обработка:
CNN: Ограниченное рецептивное поле, иерархическое накопление контекста
Transformer: Self-attention вычисляет взаимодействия между всеми элементами изображения сразу
2) Индуктивные смещения:
CNN: Принудительная локальность и трансляционная инвариантность
Transformer: Минимальные индуктивные смещения, модель учит зависимости из данных
3) Масштабируемость:
Transformer: Параллельная обработка, эффективное использование больших датасетов
CNN: Последовательная агрегация контекста, насыщение при росте глубины
4) Универсальная архитектура:
Единый подход для NLP, CV, мультимодальных задач
Упрощение ML-инфраструктуры и перенос моделей
Недостатки Transformers:
Требуют значительно больше данных для обучения
Вычислительная сложность O(n²) для n патчей
Менее эффективны на маленьких датасетах
Компромисс: Современные гибридные архитектуры (ConvNeXt, CoAtNet) сочетают преимущества обоих подходов."
Почему практически перестали использовать свертки больших размеров 9x9, 7x7, 5x5?;"Отказ от больших сверток произошел из-за лучшей эффективности и параметрической эффективности маленьких ядер.
Основные причины:
1) Параметрическая эффективность:
3×3 свертки: Требуют в 2.8 раз меньше параметров чем 5×5 при том же receptive field
Цепочка 3×3 сверток: 2 слоя 3×3 = receptive field 5×5, но с большей глубиной и нелинейностью
2) Вычислительная эффективность:
Свертки 3×3 оптимально реализованы в CUDA/cuDNN
Лучшее использование кэша и параллелизма на GPU
3) Архитектурные преимущества:
Большая глубина сети с теми же вычислениями
Больше нелинейных функций активации
Лучший градиентный поток через сеть
4) Эмпирические доказательства:
VGGNet показал превосходство стека 3×3 сверток
ResNet использует преимущественно 3×3
Современные архитектуры (EfficientNet) применяют в основном 3×3 и 1×1
Исключения:
Первый слой (7×7 в ResNet) для сохранения информации
Detection heads (5×5 в некоторых детекторах)
Специализированные задачи (медицинские изображения)
Тренд: Замена больших ядер последовательностями малых сверток с depthwise и pointwise операциями."
Может ли быть такое, что Atrous свертка вообще никогда не использует какой-то пиксель?;"Да, такое возможно при определенных условиях. Atrous свертка (dilated convolution) может полностью пропускать некоторые пиксели входного изображения.
Механизм пропуска:
Параметр dilation rate (r): Определяет шаг между элементами ядра
При r = 2: ядро 3×3 покрывает 5×5 область с ""дырками""
При r = 3: ядро 3×3 покрывает 7×7 область
Условия полного пропуска пикселей:
Когда stride > 1 И dilation rate > 1
При несовместимых размерах входа и параметров свертки
В глубоких сетях с каскадом Atrous сверток
Пример:
Вход: 10×10, ядро: 3×3, dilation rate = 2, stride = 2
Некоторые пиксели никогда не попадут в рецептивное поле
Последствия:
Уменьшение вычислительной нагрузки
Потеря информации о некоторых областях изображения
Возможные артефакты в выходных feature maps
Решение:
Использование гибридных подходов (Atrous Spatial Pyramid Pooling в DeepLab)
Каскадирование сверток с разными dilation rates
Внимательный подбор параметров для конкретной задачи"
Можно ли заменить свертку 3x3 на две: 3x1 и 1x3?;"Да, можно, и такой подход часто используется в современных архитектурах.
Сравнение:
Исходная свертка 3×3:
Параметры: 9 × C_in × C_out
Рецептивное поле: 3×3
Замена на 3×1 + 1×3:
Параметры: (3 + 3) × C_in × C_out = 6 × C_in × C_out
Рецептивное поле: 3×3 (аналогично)
Вычисления: ~66% от исходных
Преимущества замены:
Уменьшение числа параметров на 33%
Снижение вычислительной сложности
Сохранение того же рецептивного поля
Увеличение нелинейностей (две операции активации)
Недостатки:
Меньшая емкость модели
Потеря некоторых диагональных паттернов
Возможное снижение качества на сложных текстурах
Применение:
Inception модули (GoogLeNet)
Эффективные архитектуры (SqueezeNet, MobileNet)
Задачи с ограниченными ресурсами
Вывод: Замена эффективна для уменьшения модели и ускорения с сохранением качества в большинстве задач."
Что такое Dropout?;"Dropout — метод регуляризации в нейронных сетях, который случайным образом ""отключает"" часть нейронов во время обучения.
Принцип работы:
Обучение: На каждом шаге каждый нейрон с вероятностью p исключается из сети
Инференс: Все нейроны используются, но их выход умножается на p
Преимущества:
Предотвращает ко-адаптацию нейронов
Уменьшает переобучение
Улучшает обобщающую способность
Недостатки:
Увеличивает время обучения
Требует настройки вероятности p
Применение: Полносвязные и сверточные сети, трансформеры."
Какие виды нормализации существуют?;"Основные виды нормализации в глубоком обучении:
1) Batch Normalization (BN)
Применение: Полносвязные и сверточные сети
Особенности: Нормализация по батчу, требует достаточно большого размера батча
Проблемы: Зависит от размера батча, сложности в RNN
2) Layer Normalization (LN)
Применение: RNN, Transformer
Особенности: Нормализация по всем нейронам слоя для одного примера
Преимущества: Не зависит от размера батча
3) Instance Normalization (IN)
Применение: Style Transfer, GAN
Особенности: Нормализация по каналам для каждого примера отдельно
Эффект: Удаление контраста изображения
4) Group Normalization (GN)
Применение: Детекция объектов, сегментация
Особенности: Компромисс между LN и IN, каналы делятся на группы
5) Weight Normalization
Применение: Альтернатива BN в RL и GAN
Особенности: Нормализация весов вместо активаций"
